1001, 139384, 1, 0, 0
2002, 135628, 1, 0, 0
3002, 131880, 1, 0, 0
4003, 140676, 1, 0, 0
5004, 136407, 1, 0, 0
6004, 140084, 1, 0, 0
7004, 138592, 1, 0, 0
8003, 136216, 1, 0, 0
9008, 137011, 1, 0, 0
10009, 142880, 1, 0, 0
11010, 132572, 1, 0, 0
12011, 88940, 1, 0, 0
13012, 121240, 1, 0, 0
14013, 130269, 1, 0, 0
15013, 132676, 1, 0, 0
16014, 141472, 1, 0, 0
17014, 136560, 1, 0, 0
18015, 144123, 1, 0, 0
19017, 143700, 1, 0, 0
20018, 133212, 1, 0, 0
21019, 133320, 1, 0, 0
22020, 117524, 1, 0, 0
23021, 107564, 1, 0, 0
24022, 128663, 1, 0, 0
25023, 142368, 1, 0, 0
26023, 129488, 1, 0, 0
27024, 143364, 1, 0, 0
28025, 143112, 1, 0, 0
29026, 130600, 1, 0, 0
30027, 131252, 1, 0, 0
31028, 133118, 1, 0, 0
32030, 116863, 1, 0, 0
33030, 121116, 1, 0, 0
34031, 126121, 1, 0, 0
35032, 136083, 1, 0, 0
36033, 140860, 1, 0, 0
37034, 129476, 1, 0, 0
38035, 137894, 1, 0, 0
39037, 138821, 1, 0, 0
40038, 118613, 1, 0, 0
41039, 118520, 1, 0, 0
42040, 121732, 1, 0, 0
43041, 125158, 1, 0, 0
44042, 139144, 1, 0, 0
45042, 137884, 1, 0, 0
46044, 138409, 1, 0, 0
47045, 137736, 1, 0, 0
48045, 126468, 1, 0, 0
49046, 127140, 1, 0, 0
50047, 121236, 1, 0, 0
51048, 136931, 1, 0, 0
52049, 136160, 1, 0, 0
53050, 143120, 1, 0, 0
54052, 129390, 1, 0, 0
55053, 119776, 1, 0, 0
56053, 127292, 1, 0, 0
57054, 126540, 1, 0, 0
58055, 133708, 1, 0, 0
59056, 133618, 1, 0, 0
60057, 131932, 1, 0, 0
61057, 127636, 1, 0, 0
62058, 131796, 1, 0, 0
63059, 133900, 1, 0, 0
64060, 131456, 1, 0, 0
65061, 135744, 1, 0, 0
66062, 131624, 1, 0, 0
67063, 131600, 1, 0, 0
68064, 133354, 1, 0, 0
69066, 125466, 1, 0, 0
70066, 136892, 1, 0, 0
71068, 137178, 1, 0, 0
72069, 133450, 1, 0, 0
73071, 130625, 1, 0, 0
74072, 132991, 1, 0, 0
75074, 129406, 1, 0, 0
76074, 130556, 1, 0, 0
77075, 131448, 1, 0, 0
78076, 132559, 1, 0, 0
79076, 135140, 1, 0, 0
80077, 133568, 1, 0, 0
81078, 127312, 1, 0, 0
82079, 135208, 1, 0, 0
83080, 131844, 1, 0, 0
84080, 130904, 1, 0, 0
85081, 131484, 1, 0, 0
86082, 131828, 1, 0, 0
87083, 133162, 1, 0, 0
88084, 138604, 1, 0, 0
89085, 134257, 1, 0, 0
90085, 133248, 1, 0, 0
91086, 136392, 1, 0, 0
92088, 134117, 1, 0, 0
93089, 128595, 1, 0, 0
94090, 130532, 1, 0, 0
95090, 130208, 1, 0, 0
